Text,Original_OCR,Latitude,Longitude,Method,Status,Source_Image
Natal,Natal,-5.805398,-35.2080905,Geoapify (Corrected),Fixed Typo (NATL -> Natal),9105002_h2_w6.png
Mon,Mon,17.0832546,97.3337305,Original,Exact Match,9105002_h2_w6.png
Waterloo,Waterloo,43.4652699,-80.5222961,Geoapify (Corrected),Fixed Typo (WATERLOOE -> Waterloo),9105002_h2_w6.png
Ames,Ames,42.0267567,-93.6170448,Original,Exact Match,9105002_h2_w6.png
Rivera,Rivera,45.1147797,7.4137652,Geoapify (Corrected),Fixed Typo (RiveR -> Rivera),9105002_h2_w6.png
Omaha,Omaha,41.2587459,-95.9383758,Original,Exact Match,9105002_h2_w6.png
Sirte,Sirte,31.2059625,16.5836206,Geoapify (Corrected),Fixed Typo (Site -> Sirte),9105002_h2_w6.png
Coity,Coity,51.5212979,-3.5539979,Geoapify (Corrected),Fixed Typo (city -> Coity),9105002_h2_w6.png
Davenport,Davenport,41.5235808,-90.5770967,Original,Exact Match,9105002_h2_w6.png
Des Moines,Des Moines,41.5868654,-93.6249494,Original,Exact Match,9105002_h2_w6.png
Waterville,Waterville,44.5505773,-69.6303174,Original,Exact Match,9156000_h13_w4.png
Grove,Grove,53.5278975,10.4947533,Geoapify (Corrected),Fixed Typo (Gove -> Grove),9156000_h13_w4.png
Wayne,Wayne,41.6264414,-75.3045103,Geoapify (Corrected),Fixed Typo (wayney -> Wayne),9156000_h13_w4.png
Hazelwood,Hazelwood,38.7761446,-90.3715909,Original,Exact Match,9156000_h13_w4.png
Coity,Coity,51.5212979,-3.5539979,Geoapify (Corrected),Fixed Typo (CITY -> Coity),9156000_h13_w4.png
Hillsboro,Hillsboro,45.5228939,-122.989827,Geoapify (Corrected),Fixed Typo (Dillsboro -> Hillsboro),9156000_h13_w4.png
Saint George,Saint George,12.0535331,-61.751805,Geoapify (Corrected),Fixed Typo (SAINTGEORGE -> Saint George),9173000_h23_w3.png
Staten Island,Staten Island,40.5834557,-74.1496048,Geoapify (Corrected),Fixed Typo (Staten Island_ -> Staten Island),9173000_h23_w3.png
Hamilton,Hamilton,43.2560802,-79.8728583,Geoapify (Corrected),Fixed Typo (Hamilton) -> Hamilton),9173000_h23_w3.png
Dyker Heights,Dyker Heights,40.6204766,-74.0117343,Geoapify (Corrected),Fixed Typo ((Dyker Heights) -> Dyker Heights),9173000_h23_w3.png
Wadsworth,Wadsworth,41.0256101,-81.7298519,Geoapify (Corrected),Fixed Typo (Wadsworth) -> Wadsworth),9173000_h23_w3.png
Bay,Bay,35.7428864,-90.5625134,Original,Exact Match,9173000_h23_w3.png
Eau Claire,Eau Claire,44.811349,-91.4984941,Original,Exact Match,9191003_h7_w5.png
Hilliard,Hilliard,30.691068,-81.9173334,Geoapify (Corrected),Fixed Typo (Hilliards -> Hilliard),9191003_h7_w5.png
Washington ,Washington ,38.8950368,-77.0365427,Original,Exact Match,9191003_h7_w5.png
Buin,Buin,-33.7319741,-70.7419619,Geoapify (Corrected),Fixed Typo (Bruin -> Buin),9191003_h7_w5.png
Petrolina,Petrolina,-9.3817334,-40.4968875,Geoapify (Corrected),Fixed Typo (Petrolia -> Petrolina),9191003_h7_w5.png
Saint Charles,Saint Charles,38.783855,-90.481677,Original,Exact Match,9191003_h7_w5.png
Kearns,Kearns,40.6528603,-112.004618,Geoapify (Corrected),Fixed Typo (Karns -> Kearns),9191003_h7_w5.png
Coity,Coity,51.5212979,-3.5539979,Geoapify (Corrected),Fixed Typo (City -> Coity),9191003_h7_w5.png
Sligo,Sligo,41.1081472,-79.491149,Original,Exact Match,9191003_h7_w5.png
Coity,Coity,51.5212979,-3.5539979,Geoapify (Corrected),Fixed Typo (City -> Coity),9191003_h7_w5.png
Rivera,Rivera,45.1147797,7.4137652,Geoapify (Corrected),Fixed Typo (River -> Rivera),9191003_h7_w5.png
Central,Central,7.3819490000000005,80.72342798602898,Original,Exact Match,9255000_h10_w6.png
Rivera,Rivera,45.1147797,7.4137652,Geoapify (Corrected),Fixed Typo (River -> Rivera),9255000_h10_w6.png
Rivne,Rivne,50.6196175,26.2513165,Geoapify (Corrected),Fixed Typo (Rive  -> Rivne),9255000_h10_w6.png
Rivera,Rivera,45.1147797,7.4137652,Geoapify (Corrected),Fixed Typo (River -> Rivera),9255000_h10_w6.png
Belgrade,Belgrade,44.8178131,20.4568974,Original,Exact Match,9260000_h14_w4.png
Willmar,Willmar,45.1219492,-95.0435373,Original,Exact Match,9260000_h14_w4.png
Shakopee,Shakopee,44.7980186,-93.5268986,Original,Exact Match,9260000_h14_w4.png
Xindian,Xindian,24.9673935,121.5419418,Geoapify (Corrected),Fixed Typo (Indian -> Xindian),9267000_h10_w5.png
Huntsville,Huntsville,34.729847,-86.5859011,Original,Exact Match,9267000_h10_w5.png
Lewiston,Lewiston,46.4195913,-117.0216144,Geoapify (Corrected),Fixed Typo (Lewistown -> Lewiston),9267000_h10_w5.png
Green Valley,Green Valley,34.6163079,-118.4034763,Geoapify (Corrected),Fixed Typo (Green Valle) -> Green Valley),9309000_h8_w11.png
Paks,Paks,46.6229468,18.8589364,Geoapify (Corrected),Fixed Typo (Peaks -> Paks),9309000_h8_w11.png
Bear,Bear,39.6292788,-75.6582628,Original,Exact Match,9309000_h8_w11.png
Runing,Runing,33.010252,114.3507823,Geoapify (Corrected),Fixed Typo (Running -> Runing),9309000_h8_w11.png
Seven Oaks,Seven Oaks,30.8521374,-94.8671545,Original,Exact Match,9309000_h8_w11.png
Springs,Springs,41.0162112,-72.1592444,Original,Exact Match,9309000_h8_w11.png
Bear,Bear,39.6292788,-75.6582628,Original,Exact Match,9309000_h8_w11.png
San,San,11.8444164,-3.2748386,Original,Exact Match,9309000_h8_w11.png
Morong,Morong,14.5151374,121.2380858,Geoapify (Corrected),Fixed Typo (Morongo -> Morong),9309000_h8_w11.png
Basel,Basel,47.5581077,7.5878261,Geoapify (Corrected),Fixed Typo (Base -> Basel),9309000_h8_w11.png
Menton,Menton,43.7753495,7.5029213,Geoapify (Corrected),Fixed Typo (Mentone -> Menton),9309000_h8_w11.png
Redlands,Redlands,34.0550328,-117.1827445,Original,Exact Match,9309000_h8_w11.png
Springs,Springs,41.0162112,-72.1592444,Original,Exact Match,9309000_h8_w11.png
Banning,Banning,33.9255685,-116.875289,Original,Exact Match,9309000_h8_w11.png
Palm Springs,Palm Springs,33.8246269,-116.540303,Original,Exact Match,9309000_h8_w11.png
Beaumont,Beaumont,30.0829344,-94.0984277,Original,Exact Match,9309000_h8_w11.png
Palm Springs,Palm Springs,33.8246269,-116.540303,Geoapify (Corrected),Fixed Typo (Palm_Springs -> Palm Springs),9309000_h8_w11.png
Palm Springs,Palm Springs,33.8246269,-116.540303,Geoapify (Corrected),Fixed Typo (Palm Spring -> Palm Springs),9309000_h8_w11.png
Perris,Perris,33.7818729,-117.2298477,Original,Exact Match,9309000_h8_w11.png
San Jacinto,San Jacinto,33.7839664,-116.9589086,Original,Exact Match,9309000_h8_w11.png
Hemet,Hemet,33.7475203,-116.9719684,Original,Exact Match,9309000_h8_w11.png
Winchester,Winchester,39.1852184,-78.1652404,Original,Exact Match,9309000_h8_w11.png
Coity,Coity,51.5212979,-3.5539979,Geoapify (Corrected),Fixed Typo (City -> Coity),9309000_h8_w11.png
Rivas,Rivas,45.5858,4.24753,Geoapify (Corrected),Fixed Typo (Riva -> Rivas),9309000_h8_w11.png
Duncan,Duncan,48.7786872,-123.7080446,Geoapify (Corrected),Fixed Typo (Duncans -> Duncan),9361000_h5_w12.png
Rivera,Rivera,45.1147797,7.4137652,Geoapify (Corrected),Fixed Typo (River -> Rivera),9361000_h5_w12.png
Madison,Madison,43.074761,-89.3837613,Original,Exact Match,9361000_h5_w12.png
Florida,Florida,27.7567667,-81.4639835,Original,Exact Match,9361000_h5_w12.png
Paris,Paris,48.8534951,2.3483915,Original,Exact Match,9361000_h5_w12.png
Evansville,Evansville,37.970495,-87.5715641,Original,Exact Match,9361000_h5_w12.png
Perry,Perry,32.4586695,-83.7319658,Original,Exact Match,9361000_h5_w12.png
Centralia,Centralia,38.5250491,-89.1334037,Geoapify (Corrected),Fixed Typo (Centraliat -> Centralia),9361000_h5_w12.png
Hille,Hille,52.3360492,8.7452571,Geoapify (Corrected),Fixed Typo (Hill -> Hille),9361000_h5_w12.png
Mexico,Mexico,23.6585116,-102.0077097,Geoapify (Corrected),Fixed Typo (MEXICOr -> Mexico),9361000_h5_w12.png
Coity,Coity,51.5212979,-3.5539979,Geoapify (Corrected),Fixed Typo (City -> Coity),9361000_h5_w12.png
Salt,Salt,41.9741672,2.7949886,Original,Exact Match,9361000_h5_w12.png
Along,Along,28.1698002,94.79854,Geoapify (Corrected),Fixed Typo (Long -> Along),9361000_h5_w12.png
Thomson,Thomson,33.4663248,-82.5026089,Geoapify (Corrected),Fixed Typo (Thompson -> Thomson),9361000_h5_w12.png
Chicago,Chicago,41.8755616,-87.6244212,Original,Exact Match,9361000_h5_w12.png
Benton,Benton,34.5645372,-92.586828,Original,Exact Match,9361000_h5_w12.png
Coity,Coity,51.5212979,-3.5539979,Geoapify (Corrected),Fixed Typo (City -> Coity),9361000_h5_w12.png
Pittsburgh,Pittsburgh,40.4416941,-79.9900861,Original,Exact Match,9526003_h5_w11.png
Philadelphia,Philadelphia,39.9527237,-75.1635262,Geoapify (Corrected),Fixed Typo (Philadelphiac -> Philadelphia),9526003_h5_w11.png
Wilmington,Wilmington,39.7459468,-75.546589,Original,Exact Match,9526003_h5_w11.png
Baltimore,Baltimore,39.2908816,-76.610759,Original,Exact Match,9526003_h5_w11.png
Annapolis,Annapolis,38.9786401,-76.492786,Geoapify (Corrected),Fixed Typo (SANNAPOLIS -> Annapolis),9526003_h5_w11.png
Vernon,Vernon,34.007135,-118.22525,Original,Exact Match,9526003_h5_w11.png
Springs,Springs,41.0162112,-72.1592444,Original,Exact Match,9526003_h5_w11.png
Springs,Springs,-26.2550033,28.4373147,Geoapify (Corrected),Fixed Typo (SPringsv -> Springs),9526003_h5_w11.png
Raleigh,Raleigh,35.7803977,-78.6390989,Original,Exact Match,9526003_h5_w11.png
Baitu,Baitu,28.2080929,115.9847595,Geoapify (Corrected),Fixed Typo (bitu -> Baitu),9526003_h5_w11.png
Wakefield,Wakefield,42.506484,-71.0728306,Original,Exact Match,9526003_h5_w11.png
Stratford,Stratford,52.1927803,-1.70634,Geoapify (Corrected),Fixed Typo (StrATFORDO -> Stratford),9526003_h5_w11.png
Shenandoah,Shenandoah,40.7655468,-95.3723535,Original,Exact Match,9526003_h5_w11.png
Potomac,Potomac,39.017936,-77.2094542,Original,Exact Match,9526003_h5_w11.png
Richmond,Richmond,37.5385087,-77.43428,Original,Exact Match,9526003_h5_w11.png
Jamestown,Jamestown,42.0965167,-79.2380322,Geoapify (Corrected),Fixed Typo (QJAMESTOWN -> Jamestown),9526003_h5_w11.png
Sulphur,Sulphur,30.2365943,-93.3773783,Original,Exact Match,9530001_h5_w11.png
Lexington,Lexington,38.0464066,-84.4970393,Geoapify (Corrected),Fixed Typo (Lexigton -> Lexington),9530001_h5_w11.png
Spring,Spring,45.9745886,23.7773831,Geoapify (Corrected),Fixed Typo (Sprig -> Spring),9530001_h5_w11.png
Rizal,Rizal,14.65,121.25,Geoapify (Corrected),Fixed Typo (RIAL -> Rizal),9530001_h5_w11.png
Roanoke,Roanoke,37.270973,-79.9414313,Original,Exact Match,9530001_h5_w11.png
Bristol,Bristol,51.4538022,-2.5972985,Geoapify (Corrected),Fixed Typo (Bristole -> Bristol),9530001_h5_w11.png
Coity,Coity,51.5212979,-3.5539979,Geoapify (Corrected),Fixed Typo (City -> Coity),9530001_h5_w11.png
Salem,Salem,44.9391565,-123.033121,Original,Exact Match,9530001_h5_w11.png
Johnston,Johnston,41.6731523,-93.6973395,Geoapify (Corrected),Fixed Typo (Johnson -> Johnston),9530001_h5_w11.png
Raleigh,Raleigh,35.7803977,-78.6390989,Original,Exact Match,9530001_h5_w11.png
Hickory,Hickory,35.7333312,-81.3442915,Original,Exact Match,9530001_h5_w11.png
Fort Bragg,Fort Bragg,39.4436579,-123.8057607,Geoapify (Corrected),Fixed Typo (Ft Bragg -> Fort Bragg),9530001_h5_w11.png
Murray,Murray,36.6106122,-88.3021092,Original,Exact Match,9530001_h5_w11.png
Macon,Macon,32.8406946,-83.6324022,Original,Exact Match,9530001_h5_w11.png
Richmond,Richmond,37.5385087,-77.43428,Original,Exact Match,9530001_h5_w11.png
Lexington,Lexington,38.0464066,-84.4970393,Geoapify (Corrected),Fixed Typo (LexingtonQ -> Lexington),9530001_h5_w11.png
Lynchburg,Lynchburg,37.4137536,-79.1422464,Original,Exact Match,9530001_h5_w11.png
Petersburg,Petersburg,59.938732,30.316229,Original,Exact Match,9530001_h5_w11.png
Comal,Comal,29.7979704,-98.2690787,Geoapify (Corrected),Fixed Typo (COAL -> Comal),9530001_h5_w11.png
Minning,Minning,38.2539,105.969,Geoapify (Corrected),Fixed Typo (MINING -> Minning),9530001_h5_w11.png
Cumberland,Cumberland,39.6526498,-78.762383,Geoapify (Corrected),Fixed Typo (UMBERLAND -> Cumberland),9530001_h5_w11.png
Lacey,Lacey,47.0263876,-122.8072257,Geoapify (Corrected),Fixed Typo (LACE -> Lacey),9530001_h5_w11.png
Kingsport,Kingsport,36.550238,-82.5594293,Original,Exact Match,9530001_h5_w11.png
Green,Green,39.427776,-97.001961,Geoapify (Corrected),Fixed Typo (GREENE -> Green),9530001_h5_w11.png
Mitchell,Mitchell,43.70953,-98.025379,Original,Exact Match,9530001_h5_w11.png
Pinehurst,Pinehurst,30.1071543,-93.7746117,Original,Exact Match,9530001_h5_w11.png
Asheville,Asheville,35.595363,-82.5508407,Original,Exact Match,9530001_h5_w11.png
Gastonia,Gastonia,35.2622654,-81.1838186,Original,Exact Match,9530001_h5_w11.png
Charlotte ,Charlotte ,35.2272086,-80.8430827,Original,Exact Match,9530001_h5_w11.png
Spartanburg,Spartanburg,34.9498007,-81.9320157,Original,Exact Match,9530001_h5_w11.png
Columbia,Columbia,34.000754,-81.0352313,Original,Exact Match,9530001_h5_w11.png
Aiken,Aiken,33.5616173,-81.7224579,Original,Exact Match,9530001_h5_w11.png
Augusta,Augusta,33.4709714,-81.9748429,Original,Exact Match,9530001_h5_w11.png
Charleston,Charleston,32.7884363,-79.9399309,Geoapify (Corrected),Fixed Typo ('Charleston -> Charleston),9530001_h5_w11.png
Plymouth,Plymouth,41.9583799,-70.6673851,Original,Exact Match,9530002_h8_w10.png
Williamsport,Williamsport,41.2411556,-77.0011096,Original,Exact Match,9530002_h8_w10.png
Montgomery,Montgomery,32.37742,-86.3091683,Original,Exact Match,9530002_h8_w10.png
Berwick,Berwick,41.0602024,-76.2461259,Original,Exact Match,9530002_h8_w10.png
Hale,Hale,39.6036334,-93.3424307,Geoapify (Corrected),Fixed Typo (Hazle -> Hale),9530002_h8_w10.png
Danville,Danville,40.125222,-87.6304614,Original,Exact Match,9530002_h8_w10.png
Carmel,Carmel,36.5552656,-121.923278,Original,Exact Match,9530002_h8_w10.png
Philipsburg,Philipsburg,18.0250713,-63.0483073,Geoapify (Corrected),Fixed Typo ('Phillipsburg -> Philipsburg),9530002_h8_w10.png
Middelburg,Middelburg,51.4996784,3.6137371,Geoapify (Corrected),Fixed Typo (Middleburg -> Middelburg),9530002_h8_w10.png
Tremont,Tremont,40.6284222,-76.3871768,Original,Exact Match,9530002_h8_w10.png
Porta,Porta,42.5260507,1.8256362,Geoapify (Corrected),Fixed Typo (Port -> Porta),9530002_h8_w10.png
Hamburg,Hamburg,53.550341,10.000654,Original,Exact Match,9530002_h8_w10.png
Newport,Newport,41.4899827,-71.3137707,Original,Exact Match,9530002_h8_w10.png
Seminole,Seminole,32.7167351,-102.6490967,Original,Exact Match,9530002_h8_w10.png
Hobbs,Hobbs,32.7027017,-103.1355302,Geoapify (Corrected),Fixed Typo (obbs -> Hobbs),9530002_h8_w10.png
La Mesa,La Mesa,32.7678288,-117.0230839,Geoapify (Corrected),Fixed Typo (Lamesa -> La Mesa),9530002_h8_w10.png
Time,Time,39.5614368,-90.7242938,Geoapify (Corrected),Fixed Typo (Time` -> Time),9530002_h8_w10.png
Shafter,Shafter,35.501461,-119.273682,Original,Exact Match,9530002_h8_w10.png
Merke,Merke,51.8002387,14.9146759,Geoapify (Corrected),Fixed Typo (Merkel -> Merke),9530002_h8_w10.png
Shenandoah,Shenandoah,40.7655468,-95.3723535,Geoapify (Corrected),Fixed Typo (IShenandoah' -> Shenandoah),9530002_h8_w10.png
Rivera,Rivera,45.1147797,7.4137652,Geoapify (Corrected),Fixed Typo (River -> Rivera),9530002_h8_w10.png
Lewiston,Lewiston,46.4195913,-117.0216144,Geoapify (Corrected),Fixed Typo (Lewistown -> Lewiston),9530002_h8_w10.png
Sweetwater,Sweetwater,32.4709519,-100.405938,Geoapify (Corrected),Fixed Typo (iSweetwater -> Sweetwater),9530002_h8_w10.png
Amarillo,Amarillo,35.20729,-101.8371192,Original,Exact Match,9532003_h6_w7.png
Clinton,Clinton,41.8502821,-90.1877485,Original,Exact Match,9532003_h6_w7.png
El Reno,El Reno,35.532198,-97.9550578,Original,Exact Match,9532003_h6_w7.png
Hobart,Hobart,-42.8825088,147.3281233,Geoapify (Corrected),Fixed Typo (Hobarte  -> Hobart),9532003_h6_w7.png
Chickasha,Chickasha,35.0512159,-97.9370036,Original,Exact Match,9532003_h6_w7.png
Memphis,Memphis,35.1460249,-90.0517638,Original,Exact Match,9532003_h6_w7.png
Pari,Pari,48.8534951,2.3483915,Original,Exact Match,9532003_h6_w7.png
Frederick,Frederick,39.415779,-77.4127562,Original,Exact Match,9532003_h6_w7.png
Duncan,Duncan,34.5023029,-97.9578129,Original,Exact Match,9532003_h6_w7.png
Plainview,Plainview,34.1847936,-101.706841,Original,Exact Match,9532003_h6_w7.png
Rivera,Rivera,45.1147797,7.4137652,Geoapify (Corrected),Fixed Typo (River -> Rivera),9532003_h6_w7.png
Ardmore,Ardmore,34.1729273,-97.1309119,Original,Exact Match,9532003_h6_w7.png
Wichita Falls,Wichita Falls,33.9004572,-98.5020777,Original,Exact Match,9532003_h6_w7.png
Cleveland,Cleveland,41.4996574,-81.6936772,Geoapify (Corrected),Fixed Typo (Levelland -> Cleveland),9532003_h6_w7.png
Lubbock,Lubbock,33.5855677,-101.8470215,Original,Exact Match,9532003_h6_w7.png
Henrietta,Henrietta,33.8166258,-98.194682,Original,Exact Match,9532003_h6_w7.png
Bowie,Bowie,39.0080601,-76.7797899,Geoapify (Corrected),Fixed Typo (Bowie? -> Bowie),9532003_h6_w7.png
Graham,Graham,33.1020053,-98.581341,Original,Exact Match,9532003_h6_w7.png
Denton,Denton,33.2150386,-97.1330516,Original,Exact Match,9532003_h6_w7.png
Stamford,Stamford,41.0534302,-73.5387341,Original,Exact Match,9532003_h6_w7.png
Hobbs,Hobbs,32.7027017,-103.1355302,Original,Exact Match,9532003_h6_w7.png
La Mesa,La Mesa,32.7678288,-117.0230839,Geoapify (Corrected),Fixed Typo (Lamesa -> La Mesa),9532003_h6_w7.png
Wels,Wels,48.1565472,14.0243752,Geoapify (Corrected),Fixed Typo (Wells -> Wels),9532003_h6_w7.png
Bracken Ridge,Bracken Ridge,-27.317662,153.03393576327434,Geoapify (Corrected),Fixed Typo (Breckenridge -> Bracken Ridge),9532003_h6_w7.png
Sweetwater,Sweetwater,32.4709519,-100.405938,Original,Exact Match,9532003_h6_w7.png
Fort Worth,Fort Worth,32.753177,-97.3327459,Geoapify (Corrected),"Fixed Typo (""FortWorth -> Fort Worth)",9532003_h6_w7.png
Midland,Midland,31.9973662,-102.077948,Geoapify (Corrected),Fixed Typo (Midlandy -> Midland),9532003_h6_w7.png
Stephenville,Stephenville,32.2201387,-98.2045388,Geoapify (Corrected),Fixed Typo (Stephenville . -> Stephenville),9532003_h6_w7.png
Brownwood,Brownwood,31.7156858,-98.983442,Original,Exact Match,9532003_h6_w7.png
Temple,Temple,31.098207,-97.3427847,Original,Exact Match,9532003_h6_w7.png
Buchanan,Buchanan,33.8026048,-85.1885607,Original,Exact Match,9532003_h6_w7.png
Taylor,Taylor,42.240872,-83.2696509,Original,Exact Match,9532003_h6_w7.png
Austin,Austin,30.2711286,-97.7436995,Original,Exact Match,9532003_h6_w7.png
Fredericksburg,Fredericksburg,38.3031837,-77.4605399,Original,Exact Match,9532003_h6_w7.png
Coity,Coity,51.5212979,-3.5539979,Geoapify (Corrected),Fixed Typo (City -> Coity),9532003_h6_w7.png
Coity,Coity,51.5212979,-3.5539979,Geoapify (Corrected),Fixed Typo (City -> Coity),9532003_h6_w7.png
Clovis,Clovis,34.405472,-103.2050709,Original,Exact Match,9532003_h6_w7.png
Abilene,Abilene,32.44645,-99.7475905,Geoapify (Corrected),Fixed Typo (YAbilene -> Abilene),9532003_h6_w7.png
Springs,Springs,41.0162112,-72.1592444,Original,Exact Match,9532003_h6_w7.png
Odessa,Odessa,31.8457149,-102.367687,Original,Exact Match,9532003_h6_w7.png
Colorado,Colorado,38.7251776,-105.607716,Original,Exact Match,9532003_h6_w7.png
San,San,11.8444164,-3.2748386,Original,Exact Match,9532003_h6_w7.png
Rivera,Rivera,45.1147797,7.4137652,Geoapify (Corrected),Fixed Typo (River -> Rivera),9532003_h6_w7.png
Anderson,Anderson,40.1053196,-85.6802541,Geoapify (Corrected),Fixed Typo (Sanderson -> Anderson),9532003_h6_w7.png
Gare,Gare,42.3724798,21.6268015,Original,Exact Match,9534006_h3_w2.png
Paris,Paris,48.8534951,2.3483915,Original,Exact Match,9534006_h3_w2.png
Cham,Cham,49.2178194,12.6663832,Geoapify (Corrected),Fixed Typo (Champ -> Cham),9534006_h3_w2.png
Tours,Tours,47.3900474,0.6889268,Geoapify (Corrected),Fixed Typo (Tour -> Tours),9534006_h3_w2.png
Fontaine,Fontaine,36.0002035,-90.8139667,Original,Exact Match,9534006_h3_w2.png
Versailles,Versailles,38.052576,-84.7299464,Original,Exact Match,9534006_h3_w2.png
Cham,Cham,49.2178194,12.6663832,Geoapify (Corrected),Fixed Typo (Champ -> Cham),9534006_h3_w2.png
Paris,Paris,48.8534951,2.3483915,Original,Exact Match,9534006_h3_w2.png
Rheine,Rheine,52.2797707,7.4373615,Geoapify (Corrected),Fixed Typo (REINE -> Rheine),9534006_h3_w2.png
Paine,Paine,-33.8101102,-70.7390236,Geoapify (Corrected),Fixed Typo (Plaine -> Paine),9534006_h3_w2.png
Damme,Damme,51.2514978,3.281482,Geoapify (Corrected),Fixed Typo (Dame -> Damme),9534006_h3_w2.png
Gare,Gare,42.3724798,21.6268015,Original,Exact Match,9534006_h3_w2.png
Larne,Larne,54.8508458,-5.8183116,Geoapify (Corrected),Fixed Typo (LanE -> Larne),9610001_h2_w3.png
Cleveland,Cleveland,41.4996574,-81.6936772,Original,Exact Match,9610001_h2_w3.png
Superior,Superior,46.7207737,-92.1040796,Geoapify (Corrected),Fixed Typo (UPERIOR -> Superior),9610001_h2_w3.png
Estelle,Estelle,29.8457628,-90.1067399,Geoapify (Corrected),Fixed Typo (Lestelle -> Estelle),9614003_h3_w9.png
Cocos,Cocos,18.45693465,-66.9129895719989,Original,Exact Match,9614003_h3_w9.png
Larne,Larne,54.8508458,-5.8183116,Geoapify (Corrected),Fixed Typo (LANE -> Larne),9614003_h3_w9.png
Pontiac,Pontiac,42.6389216,-83.2910468,Original,Exact Match,9614003_h3_w9.png
Khobar,Khobar,26.3039999,50.1960237,Geoapify (Corrected),Fixed Typo (HOBAR -> Khobar),9614003_h3_w9.png
Adam,Adam,22.3840219,57.5240243,Geoapify (Corrected),Fixed Typo (ADAMS -> Adam),9614003_h3_w9.png
Aroa,Aroa,10.4421908,-68.8978308,Geoapify (Corrected),Fixed Typo (AROSA -> Aroa),9614003_h3_w9.png
Adam,Adam,22.3840219,57.5240243,Geoapify (Corrected),Fixed Typo (ADAMS -> Adam),9614003_h3_w9.png
Madison,Madison,43.074761,-89.3837613,Original,Exact Match,9614003_h3_w9.png
Adelaide,Adelaide,-34.9281805,138.5999312,Original,Exact Match,9614003_h3_w9.png
Ilave,Ilave,-16.086789,-69.6385874,Geoapify (Corrected),Fixed Typo (IAVE -> Ilave),9614003_h3_w9.png
Oria,Oria,37.4841014,-2.2924853,Geoapify (Corrected),Fixed Typo ('oria -> Oria),9614003_h3_w9.png
Ilave,Ilave,-16.086789,-69.6385874,Geoapify (Corrected),Fixed Typo (IAVE -> Ilave),9614003_h3_w9.png
Orange,Orange,33.7872568,-117.850308,Original,Exact Match,9614003_h3_w9.png
Tarragona,Tarragona,41.1172364,1.2546057,Geoapify (Corrected),Fixed Typo (TaRraGONE -> Tarragona),9614003_h3_w9.png
University,University,28.597661,-81.2158247,Original,Exact Match,9614003_h3_w9.png
Ogden,Ogden,41.2230048,-111.9738429,Original,Exact Match,9614003_h3_w9.png
Sterling,Sterling,41.788253,-89.6953656,Geoapify (Corrected),Fixed Typo (TERLING -> Sterling),9614003_h3_w9.png
Sterling,Sterling,41.788253,-89.6953656,Original,Exact Match,9614003_h3_w9.png
Nava,Nava,43.3582544,-5.5057607,Geoapify (Corrected),Fixed Typo (NAVAL -> Nava),9614003_h3_w9.png
Hermosa,Hermosa,43.839867,-103.191374,Original,Exact Match,9615000_h8_w6.png
Tapachula,Tapachula,14.9042905,-92.2609265,Geoapify (Corrected),Fixed Typo (Tapachul -> Tapachula),9615000_h8_w6.png
Ashington,Ashington,55.1832364,-1.57027,Geoapify (Corrected),Fixed Typo (ishington -> Ashington),9615000_h8_w6.png
Cincinnati,Cincinnati,39.1014537,-84.5124602,Original,Exact Match,9615000_h8_w6.png
Richmond,Richmond,37.5385087,-77.43428,Original,Exact Match,9615000_h8_w6.png
Raleigh,Raleigh,35.7803977,-78.6390989,Geoapify (Corrected),Fixed Typo (Raleighe -> Raleigh),9615000_h8_w6.png
Forest,Forest,32.3645888,-89.4742348,Original,Exact Match,9615000_h8_w6.png
Knoxville,Knoxville,35.9603948,-83.9210261,Original,Exact Match,9615000_h8_w6.png
Charleston,Charleston,32.7884363,-79.9399309,Original,Exact Match,9615000_h8_w6.png
Memphis,Memphis,35.1460249,-90.0517638,Original,Exact Match,9615000_h8_w6.png
Atlanta,Atlanta,33.7544657,-84.3898151,Original,Exact Match,9615000_h8_w6.png
Jacksonville,Jacksonville,30.3321838,-81.655651,Original,Exact Match,9615000_h8_w6.png
Mobile,Mobile,30.6913462,-88.0437509,Original,Exact Match,9615000_h8_w6.png
Orleans,Orleans,43.4471778,-95.0924946,Original,Exact Match,9615000_h8_w6.png
Nassau,Nassau,45.0663534,-96.4397751,Original,Exact Match,9615000_h8_w6.png
Ami,Ami,36.030794,140.2136028,Original,Exact Match,9615000_h8_w6.png
San,San,11.8444164,-3.2748386,Original,Exact Match,9615000_h8_w6.png
Mantilla,Mantilla,-28.751389,-58.6530602,Geoapify (Corrected),Fixed Typo (Antilla -> Mantilla),9615000_h8_w6.png
Trujillo,Trujillo,-8.1116778,-79.0287742,Geoapify (Corrected),Fixed Typo (ITrujillo -> Trujillo),9615000_h8_w6.png
Jamaica,Jamaica,18.1850507,-77.3947693,Original,Exact Match,9615000_h8_w6.png
Kingston,Kingston,41.9287812,-74.0023825,Original,Exact Match,9615000_h8_w6.png
Belize,Belize,17.1204943,-88.6859028,Original,Exact Match,9615000_h8_w6.png
Maracaibo,Maracaibo,10.6498095,-71.6443596,Original,Exact Match,9615000_h8_w6.png
Barranquilla,Barranquilla,10.9938599,-74.7926118,Original,Exact Match,9615000_h8_w6.png
Tegucigalpa,Tegucigalpa,14.1057433,-87.2040052,Geoapify (Corrected),Fixed Typo (Tegucigdlpa -> Tegucigalpa),9615000_h8_w6.png
